,subj,dotmode,di,dur,x,y,ntrials
0,ALL,2d,1,0.03333333333333333,0.03,0.5176991150442478,1130.0
1,ALL,2d,1,0.03333333333333333,0.06,0.4796978281397545,1059.0
2,ALL,2d,1,0.03333333333333333,0.12,0.5190243902439025,1025.0
3,ALL,2d,1,0.03333333333333333,0.25,0.5305206463195691,1114.0
4,ALL,2d,1,0.03333333333333333,0.5,0.6309523809523809,840.0
5,ALL,2d,2,0.05,0.03,0.4787077826725404,1362.0
6,ALL,2d,2,0.05,0.06,0.5139751552795031,1288.0
7,ALL,2d,2,0.05,0.12,0.5260663507109005,1266.0
8,ALL,2d,2,0.05,0.25,0.6441774491682071,1082.0
9,ALL,2d,2,0.05,0.5,0.7085755813953488,1376.0
10,ALL,2d,3,0.06666666666666667,0.03,0.47971602434077076,986.0
11,ALL,2d,3,0.06666666666666667,0.06,0.594488188976378,1016.0
12,ALL,2d,3,0.06666666666666667,0.12,0.6429924242424242,1056.0
13,ALL,2d,3,0.06666666666666667,0.25,0.7559633027522936,1090.0
14,ALL,2d,3,0.06666666666666667,0.5,0.8867497168742922,883.0
15,ALL,2d,4,0.08333333333333333,0.03,0.5773305084745762,944.0
16,ALL,2d,4,0.08333333333333333,0.06,0.5707376058041113,827.0
17,ALL,2d,4,0.08333333333333333,0.12,0.7044025157232704,795.0
18,ALL,2d,4,0.08333333333333333,0.25,0.8444193912063134,887.0
19,ALL,2d,4,0.08333333333333333,0.5,0.9250493096646942,1014.0
20,ALL,2d,5,0.1,0.03,0.5608663181478716,1339.0
21,ALL,2d,5,0.1,0.06,0.6244477172312224,1358.0
22,ALL,2d,5,0.1,0.12,0.702567760342368,1402.0
23,ALL,2d,5,0.1,0.25,0.8861209964412812,1405.0
24,ALL,2d,5,0.1,0.5,0.9788679245283018,1325.0
25,ALL,2d,6,0.13333333333333333,0.03,0.5740365111561866,986.0
26,ALL,2d,6,0.13333333333333333,0.06,0.642675698560542,1181.0
27,ALL,2d,6,0.13333333333333333,0.12,0.737281067556297,1199.0
28,ALL,2d,6,0.13333333333333333,0.25,0.8764150943396226,1060.0
29,ALL,2d,6,0.13333333333333333,0.5,0.9622222222222222,900.0
30,ALL,2d,7,0.16666666666666666,0.03,0.611157368859284,1201.0
31,ALL,2d,7,0.16666666666666666,0.06,0.7127272727272728,1100.0
32,ALL,2d,7,0.16666666666666666,0.12,0.8168438266557645,1223.0
33,ALL,2d,7,0.16666666666666666,0.25,0.9491398653702319,1337.0
34,ALL,2d,7,0.16666666666666666,0.5,0.9809911744738629,1473.0
35,ALL,2d,8,0.21666666666666667,0.03,0.6065140845070423,1136.0
36,ALL,2d,8,0.21666666666666667,0.06,0.6791979949874687,1197.0
37,ALL,2d,8,0.21666666666666667,0.12,0.8518518518518519,945.0
38,ALL,2d,8,0.21666666666666667,0.25,0.9785794813979707,887.0
39,ALL,2d,8,0.21666666666666667,0.5,0.9836065573770492,793.0
40,ALL,2d,9,0.26666666666666666,0.03,0.6085240726124704,1267.0
41,ALL,2d,9,0.26666666666666666,0.06,0.6966942148760331,1210.0
