,subj,dotmode,di,dur,x,y,ntrials
0,ALL,2d,1,0.03333333333333333,0.03,0.4927395934172314,1033.0
1,ALL,2d,1,0.03333333333333333,0.06,0.4575289575289575,1036.0
2,ALL,2d,1,0.03333333333333333,0.12,0.5085354896675651,1113.0
3,ALL,2d,1,0.03333333333333333,0.25,0.5051546391752577,1067.0
4,ALL,2d,1,0.03333333333333333,0.5,0.5743405275779376,834.0
5,ALL,2d,2,0.05,0.03,0.4929681717246484,1351.0
6,ALL,2d,2,0.05,0.06,0.48650674662668664,1334.0
7,ALL,2d,2,0.05,0.12,0.5257563368765331,1223.0
8,ALL,2d,2,0.05,0.25,0.642226148409894,1132.0
9,ALL,2d,2,0.05,0.5,0.7028985507246377,1380.0
10,ALL,2d,3,0.06666666666666667,0.03,0.4673469387755102,980.0
11,ALL,2d,3,0.06666666666666667,0.06,0.5899814471243042,1078.0
12,ALL,2d,3,0.06666666666666667,0.12,0.6912621359223301,1030.0
13,ALL,2d,3,0.06666666666666667,0.25,0.786308973172988,1081.0
14,ALL,2d,3,0.06666666666666667,0.5,0.8912087912087913,910.0
15,ALL,2d,4,0.08333333333333333,0.03,0.5289421157684631,1002.0
16,ALL,2d,4,0.08333333333333333,0.06,0.5908018867924528,848.0
17,ALL,2d,4,0.08333333333333333,0.12,0.6953316953316954,814.0
18,ALL,2d,4,0.08333333333333333,0.25,0.8337531486146096,794.0
19,ALL,2d,4,0.08333333333333333,0.5,0.9225206611570248,968.0
20,ALL,2d,5,0.1,0.03,0.5702479338842975,1331.0
21,ALL,2d,5,0.1,0.06,0.6671469740634006,1388.0
22,ALL,2d,5,0.1,0.12,0.6823184152604549,1363.0
23,ALL,2d,5,0.1,0.25,0.8600278551532033,1436.0
24,ALL,2d,5,0.1,0.5,0.9716039907904835,1303.0
25,ALL,2d,6,0.13333333333333333,0.03,0.5881792183031459,1049.0
26,ALL,2d,6,0.13333333333333333,0.06,0.6339754816112084,1142.0
27,ALL,2d,6,0.13333333333333333,0.12,0.7539094650205761,1215.0
28,ALL,2d,6,0.13333333333333333,0.25,0.8598598598598599,999.0
29,ALL,2d,6,0.13333333333333333,0.5,0.9669421487603306,968.0
30,ALL,2d,7,0.16666666666666666,0.03,0.6102564102564103,1170.0
31,ALL,2d,7,0.16666666666666666,0.06,0.6884057971014492,1104.0
32,ALL,2d,7,0.16666666666666666,0.12,0.8156761412575366,1161.0
33,ALL,2d,7,0.16666666666666666,0.25,0.9597364568081991,1366.0
34,ALL,2d,7,0.16666666666666666,0.5,0.9816254416961131,1415.0
35,ALL,2d,8,0.21666666666666667,0.03,0.5998201438848921,1112.0
36,ALL,2d,8,0.21666666666666667,0.06,0.6881625441696113,1132.0
37,ALL,2d,8,0.21666666666666667,0.12,0.8381443298969072,970.0
38,ALL,2d,8,0.21666666666666667,0.25,0.9650655021834061,916.0
39,ALL,2d,8,0.21666666666666667,0.5,0.9918414918414918,858.0
40,ALL,2d,9,0.26666666666666666,0.03,0.5909090909090909,1386.0
41,ALL,2d,9,0.26666666666666666,0.06,0.6718367346938775,1225.0
42,ALL,2d,9,0.26666666666666666,0.12,0.8418079096045198,1416.0
43,ALL,2d,9,0.26666666666666666,0.25,0.9499229583975347,1298.0
44,ALL,2d,9,0.26666666666666666,0.5,0.993798449612403,1290.0
45,ALL,2d,10,0.35,0.03,0.6171749598715891,1246.0
46,ALL,2d,10,0.35,0.06,0.7340740740740741,1350.0
47,ALL,2d,10,0.35,0.12,0.8098006644518272,1204.0
48,ALL,2d,10,0.35,0.25,0.9789029535864979,1185.0
49,ALL,2d,10,0.35,0.5,0.9948674080410608,1169.0
50,ALL,2d,11,0.45,0.03,0.6237623762376238,1212.0
51,ALL,2d,11,0.45,0.06,0.7192556634304207,1236.0
52,ALL,2d,11,0.45,0.12,0.8897751994198695,1379.0
53,ALL,2d,11,0.45,0.25,0.9611790079079798,1391.0
54,ALL,2d,11,0.45,0.5,0.9984139571768438,1261.0
55,ALL,2d,12,0.5833333333333334,0.03,0.5942028985507246,1311.0
56,ALL,2d,12,0.5833333333333334,0.06,0.7665706051873199,1388.0
57,ALL,2d,12,0.5833333333333334,0.12,0.8829008649367931,1503.0
58,ALL,2d,12,0.5833333333333334,0.25,0.9800285306704708,1402.0
59,ALL,2d,12,0.5833333333333334,0.5,0.9931087289433385,1306.0
60,ALL,2d,13,0.7666666666666667,0.03,0.695077149155033,1361.0
61,ALL,2d,13,0.7666666666666667,0.06,0.8238461538461539,1300.0
62,ALL,2d,13,0.7666666666666667,0.12,0.9168853893263342,1143.0
63,ALL,2d,13,0.7666666666666667,0.25,0.9768041237113402,1164.0
64,ALL,2d,13,0.7666666666666667,0.5,0.99833748960931,1203.0
65,ALL,2d,14,0.9833333333333333,0.03,0.6919504643962848,646.0
66,ALL,2d,14,0.9833333333333333,0.06,0.8083333333333333,720.0
67,ALL,2d,14,0.9833333333333333,0.12,0.9186991869918699,738.0
68,ALL,2d,14,0.9833333333333333,0.25,0.9668304668304668,814.0
69,ALL,2d,14,0.9833333333333333,0.5,0.9962157048249763,1057.0
70,ALL,2d,15,1.2666666666666666,0.03,0.75,176.0
71,ALL,2d,15,1.2666666666666666,0.06,0.6890756302521008,238.0
72,ALL,2d,15,1.2666666666666666,0.12,0.968503937007874,254.0
73,ALL,2d,15,1.2666666666666666,0.25,0.9391634980988594,263.0
74,ALL,2d,15,1.2666666666666666,0.5,0.9826086956521739,230.0
75,ALL,2d,16,1.65,0.03,0.689922480620155,129.0
76,ALL,2d,16,1.65,0.06,0.8617886178861789,123.0
77,ALL,2d,16,1.65,0.12,1.0,117.0
78,ALL,2d,16,1.65,0.25,1.0,110.0
79,ALL,2d,16,1.65,0.5,1.0,128.0
80,ALL,2d,17,2.1333333333333333,0.03,0.5214285714285715,140.0
81,ALL,2d,17,2.1333333333333333,0.06,0.8066666666666666,150.0
82,ALL,2d,17,2.1333333333333333,0.12,0.9611650485436893,206.0
83,ALL,2d,17,2.1333333333333333,0.25,1.0,170.0
84,ALL,2d,17,2.1333333333333333,0.5,1.0,164.0
85,ALL,2d,18,2.75,0.03,0.6127450980392157,204.0
86,ALL,2d,18,2.75,0.06,0.8078602620087336,229.0
87,ALL,2d,18,2.75,0.12,0.955,200.0
88,ALL,2d,18,2.75,0.25,1.0,218.0
89,ALL,2d,18,2.75,0.5,0.9795081967213115,244.0
90,ALL,2d,19,3.566666666666667,0.03,0.6986899563318777,229.0
91,ALL,2d,19,3.566666666666667,0.06,0.9328358208955224,268.0
92,ALL,2d,19,3.566666666666667,0.12,0.9681978798586572,283.0
93,ALL,2d,19,3.566666666666667,0.25,1.0,361.0
94,ALL,2d,19,3.566666666666667,0.5,1.0,312.0
95,ALL,2d,20,4.616666666666666,0.03,0.6823529411764706,340.0
96,ALL,2d,20,4.616666666666666,0.06,0.8997214484679665,359.0
97,ALL,2d,20,4.616666666666666,0.12,0.9523809523809523,378.0
98,ALL,2d,20,4.616666666666666,0.25,1.0,357.0
99,ALL,2d,20,4.616666666666666,0.5,1.0,399.0
100,ALL,3d,1,0.03333333333333333,0.03,0.5110864745011087,902.0
101,ALL,3d,1,0.03333333333333333,0.06,0.4376417233560091,882.0
102,ALL,3d,1,0.03333333333333333,0.12,0.45285087719298245,912.0
103,ALL,3d,1,0.03333333333333333,0.25,0.5021141649048626,946.0
104,ALL,3d,1,0.03333333333333333,0.5,0.5213333333333333,750.0
105,ALL,3d,2,0.05,0.03,0.5059907834101383,1085.0
106,ALL,3d,2,0.05,0.06,0.5489642184557438,1062.0
107,ALL,3d,2,0.05,0.12,0.5372290292177191,1061.0
108,ALL,3d,2,0.05,0.25,0.4652351738241309,978.0
109,ALL,3d,2,0.05,0.5,0.5956873315363881,1113.0
110,ALL,3d,3,0.06666666666666667,0.03,0.45029821073558646,1006.0
111,ALL,3d,3,0.06666666666666667,0.06,0.4852492370295015,983.0
112,ALL,3d,3,0.06666666666666667,0.12,0.5470171890798786,989.0
113,ALL,3d,3,0.06666666666666667,0.25,0.5407331975560081,982.0
114,ALL,3d,3,0.06666666666666667,0.5,0.6295369211514393,799.0
115,ALL,3d,4,0.08333333333333333,0.03,0.535796766743649,866.0
116,ALL,3d,4,0.08333333333333333,0.06,0.5539083557951483,742.0
117,ALL,3d,4,0.08333333333333333,0.12,0.5602649006622517,755.0
118,ALL,3d,4,0.08333333333333333,0.25,0.6631944444444444,864.0
119,ALL,3d,4,0.08333333333333333,0.5,0.7473784556720686,1049.0
120,ALL,3d,5,0.1,0.03,0.4821899736147757,1516.0
121,ALL,3d,5,0.1,0.06,0.5247875354107648,1412.0
122,ALL,3d,5,0.1,0.12,0.5646616541353383,1330.0
123,ALL,3d,5,0.1,0.25,0.651355421686747,1328.0
124,ALL,3d,5,0.1,0.5,0.7893864013266998,1206.0
125,ALL,3d,6,0.13333333333333333,0.03,0.553038105046344,971.0
126,ALL,3d,6,0.13333333333333333,0.06,0.6261022927689595,1134.0
127,ALL,3d,6,0.13333333333333333,0.12,0.6304957904583723,1069.0
128,ALL,3d,6,0.13333333333333333,0.25,0.7309546769527483,1037.0
129,ALL,3d,6,0.13333333333333333,0.5,0.8267326732673267,1010.0
130,ALL,3d,7,0.16666666666666666,0.03,0.5324444444444445,1125.0
131,ALL,3d,7,0.16666666666666666,0.06,0.6325459317585301,1143.0
132,ALL,3d,7,0.16666666666666666,0.12,0.6452442159383034,1167.0
133,ALL,3d,7,0.16666666666666666,0.25,0.7558651026392962,1364.0
134,ALL,3d,7,0.16666666666666666,0.5,0.8545816733067729,1506.0
135,ALL,3d,8,0.21666666666666667,0.03,0.5268630849220104,1154.0
136,ALL,3d,8,0.21666666666666667,0.06,0.6080489938757655,1143.0
137,ALL,3d,8,0.21666666666666667,0.12,0.6943844492440605,926.0
138,ALL,3d,8,0.21666666666666667,0.25,0.7814269535673839,883.0
139,ALL,3d,8,0.21666666666666667,0.5,0.8407494145199064,854.0
140,ALL,3d,9,0.26666666666666666,0.03,0.5592417061611374,1266.0
141,ALL,3d,9,0.26666666666666666,0.06,0.6594504579517069,1201.0
142,ALL,3d,9,0.26666666666666666,0.12,0.7148148148148148,1350.0
143,ALL,3d,9,0.26666666666666666,0.25,0.8237205523964257,1231.0
144,ALL,3d,9,0.26666666666666666,0.5,0.9138321995464853,1323.0
145,ALL,3d,10,0.35,0.03,0.5413919413919414,1365.0
146,ALL,3d,10,0.35,0.06,0.5797306874557052,1411.0
147,ALL,3d,10,0.35,0.12,0.6739702015775635,1141.0
148,ALL,3d,10,0.35,0.25,0.8388746803069054,1173.0
149,ALL,3d,10,0.35,0.5,0.9293909973521624,1133.0
150,ALL,3d,11,0.45,0.03,0.5240963855421686,1162.0
151,ALL,3d,11,0.45,0.06,0.6170583115752829,1149.0
152,ALL,3d,11,0.45,0.12,0.7009279086366881,1401.0
153,ALL,3d,11,0.45,0.25,0.8144104803493449,1374.0
154,ALL,3d,11,0.45,0.5,0.9373065015479877,1292.0
155,ALL,3d,12,0.5833333333333334,0.03,0.5749185667752443,1228.0
156,ALL,3d,12,0.5833333333333334,0.06,0.679160419790105,1334.0
157,ALL,3d,12,0.5833333333333334,0.12,0.6984126984126984,1260.0
158,ALL,3d,12,0.5833333333333334,0.25,0.8185745140388769,1389.0
159,ALL,3d,12,0.5833333333333334,0.5,0.9407665505226481,1435.0
160,ALL,3d,13,0.7666666666666667,0.03,0.6008739985433358,1373.0
161,ALL,3d,13,0.7666666666666667,0.06,0.6377171215880894,1209.0
162,ALL,3d,13,0.7666666666666667,0.12,0.722488038277512,1254.0
163,ALL,3d,13,0.7666666666666667,0.25,0.8818011257035647,1066.0
164,ALL,3d,13,0.7666666666666667,0.5,0.9355416293643688,1117.0
165,ALL,3d,14,0.9833333333333333,0.03,0.5536992840095465,838.0
166,ALL,3d,14,0.9833333333333333,0.06,0.6019047619047619,1050.0
167,ALL,3d,14,0.9833333333333333,0.12,0.7638190954773869,995.0
168,ALL,3d,14,0.9833333333333333,0.25,0.8764652840396754,1109.0
169,ALL,3d,14,0.9833333333333333,0.5,0.9515246286161063,1279.0
170,ALL,3d,15,1.2666666666666666,0.03,0.6932773109243697,238.0
171,ALL,3d,15,1.2666666666666666,0.06,0.697841726618705,278.0
172,ALL,3d,15,1.2666666666666666,0.12,0.7800687285223368,291.0
173,ALL,3d,15,1.2666666666666666,0.25,0.8846153846153846,338.0
174,ALL,3d,15,1.2666666666666666,0.5,0.9583333333333334,312.0
175,ALL,3d,16,1.65,0.03,0.39849624060150374,133.0
176,ALL,3d,16,1.65,0.06,0.680327868852459,122.0
177,ALL,3d,16,1.65,0.12,0.7078651685393258,89.0
178,ALL,3d,16,1.65,0.25,0.8823529411764706,68.0
179,ALL,3d,16,1.65,0.5,0.9739130434782609,115.0
180,ALL,3d,17,2.1333333333333333,0.03,0.5371900826446281,121.0
181,ALL,3d,17,2.1333333333333333,0.06,0.553030303030303,132.0
182,ALL,3d,17,2.1333333333333333,0.12,0.8527131782945736,129.0
183,ALL,3d,17,2.1333333333333333,0.25,0.8895705521472392,163.0
184,ALL,3d,17,2.1333333333333333,0.5,0.9925373134328358,134.0
185,ALL,3d,18,2.75,0.03,0.6510416666666666,192.0
186,ALL,3d,18,2.75,0.06,0.5778894472361809,199.0
187,ALL,3d,18,2.75,0.12,0.6174496644295302,149.0
188,ALL,3d,18,2.75,0.25,0.9565217391304348,161.0
189,ALL,3d,18,2.75,0.5,0.9788359788359788,189.0
190,ALL,3d,19,3.566666666666667,0.03,0.6417112299465241,187.0
191,ALL,3d,19,3.566666666666667,0.06,0.6404494382022472,178.0
192,ALL,3d,19,3.566666666666667,0.12,0.6796116504854369,206.0
193,ALL,3d,19,3.566666666666667,0.25,0.9008620689655172,232.0
194,ALL,3d,19,3.566666666666667,0.5,0.9132231404958677,242.0
195,ALL,3d,20,4.616666666666666,0.03,0.6162790697674418,258.0
196,ALL,3d,20,4.616666666666666,0.06,0.572463768115942,276.0
197,ALL,3d,20,4.616666666666666,0.12,0.8031746031746032,315.0
198,ALL,3d,20,4.616666666666666,0.25,0.9011627906976745,344.0
199,ALL,3d,20,4.616666666666666,0.5,0.9427609427609428,297.0
