,A,B,T,bi,coh,dotmode,subj
0,0.8733787171677864,0.5,144.03576722304228,0,0.25,3d,ALL
1,0.9546884781562238,0.5,93.96240312965821,0,0.5,3d,ALL
2,0.6434145634340238,0.5,135.5656676776415,0,0.06,3d,ALL
3,0.5942001415339913,0.5,425.1356245114786,0,0.03,3d,ALL
4,0.7303263060004164,0.5,162.6646062832625,0,0.12,3d,ALL
5,0.9772054520050888,0.5,68.38086194933244,0,0.25,2d,ALL
6,0.9943244808954782,0.5,37.08328271147962,0,0.5,2d,ALL
7,0.8230877429268948,0.5,290.8211978462226,0,0.06,2d,ALL
8,0.6708459652332763,0.5,254.9833689448075,0,0.03,2d,ALL
9,0.9097174988691789,0.5,142.90356927756898,0,0.12,2d,ALL
